price,market_cap,volume
3135044.197682978,59287164651159.23,2340343396997.6714
3130449.9497925485,59256227621074.12,2223317070943.8853
3218165.733077973,60916797542559.48,2189876392733.6638
3193996.6706421883,60459482378253.04,2064293703143.5059
3209900.423173387,60760686595312.516,1956168441249.413
3183106.5978884697,60253600933725.07,1885694398493.1216
3194897.1789643015,60345032188158.11,1891911934307.9758
3207407.284017662,60713974701355.53,1636170125204.4878
3201299.76523184,60598462886295.79,1535343242119.4902
3224908.7195505095,61045464569328.06,1517459492382.2803
3220890.1928479047,61049222005106.234,1511480231710.3318
3202954.583032068,60521089464852.66,1498071335230.0415
3203865.6195966974,60647712012377.32,1475849057855.8247
3189316.246484006,60372538227136.08,1465129803279.558
3199802.734813091,60571165037871.04,1452089428664.532
3190118.9455796746,60437706529604.65,1443679253817.1692
3188911.0081640966,60365227567485.16,1448947961393.4192
3199376.017910102,60557958646141.336,1442178453236.201
3201276.2610455803,60599557781655.75,1419472443800.2822
3196602.92485908,60511191500923.18,1401796871310.5198
3195348.3893432016,60487603107989.16,1364255665143.2266
3191571.1023638505,60416160109490.67,1348410241581.2515
3203151.985339841,60635484502820.02,1345502915412.5037
3192370.0158996796,60538488609681.88,1268722941487.3716
3164244.705423659,60111451980922.03,1231513140802.0693
3199277.715078128,60555301676872.766,1238689919835.9495
3213431.7193593127,60928867710669.6,1215368308403.208
3225459.1032008636,61058585915412.99,1165610949168.1602
3221970.9202419533,60992611909840.78,1151058994722.7246
3232762.87394222,61196967368527.35,1151861632866.8604
3219761.1964486786,60927474783175.305,1097629868549.4666
3226748.0465931734,61083308546422.74,1086989076949.4229
3234793.731256409,61235696640646.484,1101783008028.568
3212018.0767670656,60804706699979.34,1102416146223.5056
3212696.0380535615,60817701396170.086,1089089048709.6764
3201558.2472762903,60632110000236.805,1083961293994.0967
3196914.544842405,60478892540828.33,1060750142414.5853
3196617.0849930593,60539243805657.875,1048914327931.1617
3187180.211302203,60460965182758.59,1063018243547.439
3195316.2413725764,60419961843938.15,1072629775216.8616
3195621.9767050394,60529564739193.914,1066265149311.2955
3194006.1220938866,60464870709712.53,1062433430227.4854
3206811.614477709,60609808502541.79,1062275967027.6493
3210852.5122967414,60827673443745.18,1055215005064.8441
3199498.7163976915,60667872943892.74,1068672569345.3256
3199001.6588367093,60559980503271.85,1086817508419.0077
3193546.1438145656,60456801693869.625,1061497534251.293
3194969.623557096,60483969943559.38,1080973395375.4424
3199610.742349156,60530943079324.2,1072341887198.149
3198944.913967485,60309956289143.91,1094869590210.9965
3215390.81905104,60871103781112.836,1114270408027.6443
3206134.1996148485,60695926080004.016,1114097911612.8647
3221772.610670865,61010414514323.69,1120179796942.661
3196968.2204158925,60522882758983.55,1097655284302.831
3197001.5124493307,60481816615146.86,1096873892960.8662
3175330.276825778,60161160128424.44,1092207711792.0635
3201483.981559473,60613388267437.35,1094520037048.7434
3192267.764086005,60434436329400.79,1074024194434.114
3210857.429812499,60776010831722.52,1072469001569.5607
3202973.7342165196,60637337472350.12,1073532212927.2917
3179669.59226642,60274598364366.26,1063912186831.1404
3182803.328029706,60251596196797.07,1074118863212.7291
3190588.150881611,60319836389942.15,1075419488108.2738
3169108.9398704553,60029433213386.55,1079939664241.285
3167955.149379184,59986660127197.89,1093136413853.614
3165785.1395967314,59934068089949.91,1121019512869.032
3183430.4630522514,60268247112518.54,1153364621996.2966
3174722.600664881,60103587948534.27,1153604725215.69
3187634.788847065,60162017101344.15,1165923062618.4814
3188831.5103995474,60400137696849.83,1165626790553.1013
3181987.9353755703,60241433776385.516,1170980870361.82
3176953.5864583314,60146202846111.82,1162571711465.1924
3169074.6465648985,60048419068991.89,1173133852729.9265
3170908.8523572255,60032122029154.836,1153093671196.085
3172586.678614781,60064083587910.9,1120558795660.3987
3161288.824262038,59999733943522.664,1115042424608.8723
3141504.273347744,59558493047483.71,1142378714185.8823
3128550.82911517,59399376687089.72,1178346243272.1213
3140837.1893743775,59422577437592,1211441526969.718
3143769.3259196794,59510543993575.445,1231348708470.1187
3135047.761936942,59352150463955.766,1216598050135.283
3100643.4067661427,58703008814685.17,1239197697681.1697
3144766.3539141226,59693375127075.34,1295894319504.2278
3141823.607821065,59458002590469.05,1311284551535.4094
3149991.068808236,59636364863191.76,1311167143524.6804
3139885.451579429,59452462394476.84,1318806571730.381
3141289.230443696,59473243677682.88,1314968544070.1182
3129557.340262011,59251204972779.09,1326778390455.5752
3131920.564460476,59320522138092.96,1329778982815.1604
3143050.226450547,59418358247569.54,1318086434946.7932
3156051.5746379774,59753010026214.16,1316998718762.2898
3132439.3384481715,59299604896389.31,1303483503134.5085
3113275.6817813977,58830425481554.43,1319255275114.2441
3136438.6514616767,59382036166191.36,1368943230005.3413
3135970.7164065363,59373311621929.93,1367452414059.6406
3120163.8550146963,59074118429942.63,1366786093970.28
3124664.0584150893,58979034159045.586,1363854709739.0142
3111592.8056066106,58892338162198.95,1372869840894.6653
3083563.317816152,58320963061901.375,1397482096611.657
3109029.7554835537,58863686297646.63,1443162295060.9307
3116817.850927533,59052000110835.91,1426033790075.4128
3099540.629592129,58684163756921.734,1409915938895.078
3111475.6645824816,58731951630393.28,1398324390442.87
3118063.7588855317,58928785239543.83,1393332350106.3027
3113018.3275498496,58788834125672.68,1392297531368.7712
3171020.9167589457,60038128149840.91,1426466814475.5886
3171335.8725559716,60044170609451.24,1422739142391.7224
3163534.381407554,59991542594343.69,1410158456265.7234
3156613.1074176994,59637391181828.29,1381484759666.7441
3168490.5719904653,59990673277611.766,1380496594108.4734
3159052.5460039484,59809936029578.234,1369294498135.0132
3120319.87688365,58902384075519.305,1386713881302.437
3122458.389372259,59119612345397.805,1395497893893.3484
3117293.1214357903,59014334941985.98,1398009630334.736
3117937.601788356,59034269775485.9,1396971012608.9219
3078678.6911562807,58321974698980.63,1418723302813.4143
3084399.7219029786,58294910071728.85,1440195451592.359
3101089.879542905,58558691625441.33,1420136936927.8657
3084014.333478304,58289740375518.4,1427481613356.4492
3135281.190198199,59300983731565.85,1491542402714.9116
3139573.135780599,59408278064699.26,1501929847021.2961
3138741.829818646,59415948462498.24,1495731947158.2227
