price,market_cap,volume
10634.212448281023,3356257053141.6772,160799853634.56235
10931.402102336644,3378389764206.166,159203528750.47778
10924.398219683833,3412079076814.466,146050065239.23093
10973.344662868725,3441317551481.974,140947999293.5717
10832.800025545303,3409877505042.639,137367527036.63129
10928.022732698013,3430371033630.0723,135022366695.72925
11058.590022338114,3478233045356.047,129894276509.24577
10945.076778767329,3438094279334.686,128152122523.30975
10959.349713662714,3434540651797.7783,125852778350.54514
10944.000844019236,3429771255435.051,123641375935.89055
10850.011271577308,3400008509685.4463,120659049265.37166
10841.692507227091,3401861077057.297,118034382347.17738
10844.967124795723,3400776042842.1333,117613625548.50824
10925.175795206544,3422055210637.078,119336684083.55527
10835.828004346156,3415177068348.24,118814225559.93526
10806.291323087595,3386939619798.938,116080351277.63338
10810.690301045608,3392105059054.279,113770698285.10814
10814.346155693123,3388584166632.088,114838811480.89755
10794.07608499236,3391436189390.885,110633452160.47647
10799.202522302285,3390713889046.8926,106410376357.66925
10793.9767169194,3379420538909.928,105962277193.4063
10824.805079628652,3400756964731.976,104871279657.54384
10855.39541160864,3407429731168.698,96924952505.47229
10698.852671914381,3357241502243.7217,94174491109.16086
10819.881509469154,3394237355641.7295,93448510722.15767
10931.193017798916,3432510894687.3203,90942932710.8205
10999.147866842204,3444529326484.284,88840724465.75609
11018.100567577458,3458221148578.2764,83230147569.20761
11046.807985114818,3465761917371.145,83566147772.83824
10959.981912067196,3441937285558.206,83500735167.58803
10984.261112963275,3456420540496.2007,81018020747.3758
11045.441686477607,3467818773575.3125,78586537881.89279
10979.133740756424,3446531166020.781,77654568952.54958
11012.701883544636,3451942720296.397,75740369684.53821
10953.138416304568,3436185545985.0366,74390633932.38472
10945.284512388265,3436176175218.093,71618600872.81186
10952.799595624108,3448716187022.2173,72044655812.8044
10885.138337047663,3429227459047.757,71659691224.25243
10921.034229999495,3419080585926.4946,72689698563.31477
10937.037518309433,3434342335629.8955,68751409703.43008
10886.794995865937,3427533368136.878,69448184362.45525
11022.573788054568,3452042150733.2456,70746674563.8321
11100.035215317368,3484189737888.212,73208200297.04007
11066.355012901893,3484457202399.778,75197788603.2606
11065.402021861397,3476134399458.634,72445738079.22769
11044.149695976661,3486435443294.7427,73031081062.49661
11018.198179296773,3457944618271.3477,73072372369.48407
11059.031967372537,3462003639136.928,73563127581.9905
11107.515111442459,3463738568471.298,77158459253.16544
11256.934932697632,3533305482034.963,80268726697.77197
11134.535188083983,3509215574861.494,78954447419.77716
11166.017347078981,3513901923922.6343,79929912621.17455
11093.252774363395,3489263026494.185,77483529049.23889
11049.845752995887,3471468837546.5464,75312219026.19803
10949.280613881749,3444756533194.513,77636940818.27333
11002.787397419523,3456847053536.0312,76623347623.1096
10899.0010395933,3420613516477.781,75412705595.5646
10984.172518164032,3445495121415.238,76103032647.19583
10985.436389446098,3450385717156.488,79151063791.13037
10863.53450328703,3416781898470.2275,79679163985.63315
10825.160763074553,3398814652505.6597,81673180436.24466
10773.485481496004,3386518971374.3413,83553227424.58852
10650.130212125245,3344816917934.125,87949921547.42877
10619.564352641462,3337393301326.969,88359550346.76268
10608.131931550826,3325563488540.3477,92504077162.61003
10645.724121299741,3348428313546.1055,90340820995.43596
10653.839607950724,3351214175673.898,90182674368.90726
10679.196670643789,3348446075074.377,87303695990.93471
10684.660055326895,3353257197771.083,88019175222.26402
10640.413947038222,3329571214848.18,92723369639.61348
10618.009449543699,3334570583926.674,90193046077.70973
10580.29313826546,3327913421018.011,93325102494.7379
10587.660611388255,3327101733884.249,88595549397.22923
10658.501364050951,3351275773188.6514,86475975417.84444
10577.321381637701,3334836336647.335,86772497827.74344
10469.171292973999,3289540149233.302,89196097924.88184
10383.007723519017,3272560283981.691,92898077531.07053
10376.363977242627,3265817028809.875,93572235052.145
10403.816346376554,3266508267942.792,96035848176.47676
10364.175459638314,3254020471424.9253,95400929775.2985
10254.614286938135,3202754295130.235,97759664517.91685
10413.295685454294,3288270062845.906,100201708154.64638
10402.059029342288,3269638961951.16,98942483585.8858
10498.36646864006,3297183596740.129,100726795068.34407
10462.713170185874,3288872797876.2744,99635004576.42635
10400.852011222989,3274985606461.7124,95759103938.52502
10352.612708538025,3249808289459.1396,97162749735.11206
10346.915765163041,3249053427347.3584,97089042287.56444
10376.46082570732,3253831501903.9985,94964764869.65175
10487.490438441686,3297382158559.461,95996770300.12315
10430.428963085655,3268691318164.0405,96300428504.2341
10304.838967300771,3236356396507.423,96731892734.2344
10284.965720985709,3228206021118.5684,99535984091.92712
10253.121543796575,3244242116668.127,95955232157.29048
10262.434565730331,3223357758167.97,97776314920.35274
10263.46559958161,3210851117338.398,95246926145.893
10179.542053373092,3187544831313.975,96951120698.44444
10100.209232567366,3173983644711.6543,101616508353.49289
10189.302218129593,3204027914000.257,103175471842.8517
10261.817606955768,3226318983085.0894,99115510355.98732
10187.342042782097,3205150074510.3223,97650006149.10667
10188.762596502145,3197548878327.1924,91737862622.50131
10253.862003468726,3217836602366.7812,92415328200.75769
10246.80469878796,3205575225789.409,95009158782.2959
10508.33096873604,3305320583343.787,98061364622.02669
10518.376374963764,3319102217744.549,95428604114.66696
10572.473223676683,3326186476831.9966,96109360558.86131
10494.953162273358,3288260527675.7505,96159570956.57767
10617.049198618388,3334687420145.3813,96899799401.4731
10497.120944442477,3306877753193.2134,95841376528.55327
10314.773547273331,3227838331036.6226,96850003263.5996
10384.400072205784,3258549388969.0005,96117851306.54718
10309.911943816624,3240386206957.2144,95139367499.3826
10292.651789460855,3240074183084.3037,94143427307.47844
