price,market_cap,volume
239959.60239255495,28588079663091.844,1060596743363.6307
238571.92044883044,28516797484700.97,1052389268752.6814
245493.62293905843,28663170092004.434,1069699458047.4227
243794.23261848438,29050050098571.598,1020094917163.2838
244682.1697976729,29113871735678.66,989952706980.4144
243287.13698860665,29010585217587.477,948110571661.0243
244441.11243620556,29063199116605.176,946892660186.5594
245762.65476419227,29285166830735.586,942323281782.3628
245429.05347196228,29245536037386.105,911137807665.4807
247164.84965500835,29452547563372.195,906819406366.0325
247348.99041536535,29428471855652.33,917159286454.5302
245604.46635637825,29266847533142.91,913329647079.9493
246456.9928377063,29375145795994.098,884438504891.0425
244998.00562820162,29184042844836.086,875956496400.5066
246141.15988041656,29331250325201.32,872189240906.3712
245729.7175546855,29282328084856.977,868547271526.3016
245699.48233182912,29210461456862.39,871760649700.2803
246284.67596290156,29348744118043.094,866635270913.939
246739.45966521432,29401946456375.562,851591258404.081
246031.8406518921,29345309722680.14,834566712129.4458
246210.2110231422,29373459719720.465,902615852213.3068
246862.0513825636,29323061076239.85,891111128280.2708
246907.66105387057,29444163123535.76,888552747817.2311
246273.81608697507,29394156285264.77,839246955564.6982
242924.21665300478,29006671037856.13,803954285966.481
246073.54048475836,29307054334474.92,819775085982.7697
247969.16335546173,29523434377089.13,820504973214.6846
250144.02251610713,29727550666296.83,820539284985.773
249560.8610263808,29697172941452.78,809430716467.631
249250.66142492223,29703875451328.883,797492747281.5541
248598.75661851038,29623526141137.04,691611255052.1036
248453.34481474952,29609140451021.06,671182679285.7573
249228.4536518807,29701641332889.09,667432644030.9945
247430.65930632394,29527187250675.72,668410751776.566
247797.3099130397,29488828401705.785,655687752638.6702
247032.75977170817,29432558890770.145,642167798197.9114
247250.76937955184,29453673208415.902,632348622070.256
247031.2880093502,29443881957347.215,630420494151.772
245705.7434451288,29400576233802.312,626385554447.9205
246459.186070873,29337718818541.473,633587586531.2567
246612.05452359098,29390954602262.008,627365033864.8513
245744.59820625235,29287689205582.387,626793918629.6631
247206.47690169295,29416649537360.164,631447468803.815
247573.65182329755,29555444447441.89,631071396704.9478
246382.403763762,29445253607618.99,630206678633.2693
