price,market_cap,volume
35200.51612534877,5924492770496.6045,161325031283.71237
35175.123161664094,5925361789921.29,160598392275.28665
35682.60811011119,5948379603947.608,166515959787.63452
35689.55871001328,6000736614080.66,164532612619.83612
35872.7898393631,6028356087505.655,141744882598.04697
35595.288494207736,5991008384703.154,143555791176.23633
36022.060393096166,6001032930623.928,150861196672.4744
36063.69096963382,6067899677363.074,119871646797.74408
36136.73237627821,6075923068858.981,134080522119.99088
36442.44054181749,6108863158050.705,148759620364.06476
36503.7201812273,6125753306475.383,150017918613.96387
36340.91881063912,6093419680926.511,131675153207.58278
36367.866773388436,6103829483854.619,151239937546.93396
36117.94234570509,6069423343883.626,150465004636.3697
36236.231162227115,6098421051254.216,124235547693.92206
36155.27986529357,6084909239260.605,149277080995.35065
36262.801748485384,6084159386238.881,144788573281.3309
36518.70847663046,6134031284198.878,78425682988.01007
36644.56266438824,6137127153025.816,150405035915.38788
36672.22073525918,6162498423934.123,142874788197.28473
36588.72627213053,6167101711763.666,141305785524.38416
36552.426075101925,6126685153458.626,144144986702.4602
36636.92804787163,6163541183115.226,142346867300.9889
36563.960443514115,6155843550485.511,122505349982.76176
36157.8667010596,6086215356750.976,132083564026.90446
36647.02485008364,6167796279812.372,60483293286.22815
36946.97079868947,6205284078289.763,131192515526.52634
37204.268144009824,6242156247791.136,132319385353.89365
37129.802052705556,6238513499369.841,104931795751.8873
37157.59043836567,6232908885092.041,114944485388.04144
37054.749034227585,6230977508031.547,119386368604.32391
37114.3157689441,6236952958880.864,52981288687.13137
36984.422201383095,6228833560338.76,117690503781.14783
36751.16014983975,6194296847975.326,115503197408.86435
36798.159486013246,6181079264152.721,115076942521.1465
36724.01905514831,6157499083424.54,112109801024.01181
36654.12639441697,6160806280887.371,110981691097.09601
36595.606282866844,6155654852505.24,103940555747.247
36365.98933673307,6127456741206.466,104624523572.7732
36522.698827659275,6135794540502.456,103372002001.47285
36516.58923370831,6139791074933.567,109851049633.48924
36575.40828908801,6149680736559.548,85862158322.09401
36792.09393072957,6173182749397.057,112807463113.04153
36845.99752567409,6196248075116.469,80103887074.10817
36742.176684147096,6187423374610.516,108456984455.92873
36778.2512181969,6181268116528.159,104374443904.71173
36730.68010498917,6192729118624.029,93813583004.58484
36678.84527198156,6169471360420.92,103212623429.15398
36800.182724794686,6184631106012.465,109841544270.22504
36857.37908600946,6170009033385.977,109614943580.01634
37058.39025083897,6230667279202.728,103057575133.98213
37192.93791497829,6258309229443.99,108665271927.8284
37395.364528606915,6311315042077.026,101328256389.01123
37122.937206949326,6253911236507.779,116615025207.61426
37148.65119249653,6243233587434.588,109460874771.39417
36919.52589386629,6213042574192.465,46922399232.74737
37232.49562468726,6258115054250.154,106376864332.8484
37072.42067298732,6227488991785.272,107962648136.52142
37144.31398392781,6243842922899.186,106947101278.83862
37036.40899760208,6232483195073.376,98950056620.75812
36691.16270009608,6170904082778.604,55657124851.68522
36624.92707118043,6173562090135.357,111314460073.23885
36420.84582917714,6137932196972.044,115106527656.23128
36063.48749963218,6074972507727.66,110803082030.55934
35988.60326899619,6052487049558.552,93852067670.32831
35951.57149019718,6033886702037.974,47283084495.16204
36117.57002432226,6078898629100.705,118752180357.63683
36064.08805797889,6067917410504.845,117778469156.55296
36081.87095597514,6057056264912.799,118469324219.62437
36043.40299579723,6051325936486.776,117261533730.40334
35925.39959647979,6028555345673.948,117941443571.8939
35829.421588409576,6023868795564.723,88810323769.28061
35510.21213384899,5975230851266.181,121454931485.08789
35469.363818828075,5959635246135.426,79449022602.43396
35222.22809996525,5933029788634.645,119569039786.59286
35069.501367938115,5915178470368.46,118786601452.66626
35135.14038990304,5913810065883.1455,119552324779.27423
35110.29518193288,5902004572382.517,123770532578.8812
35397.77377613874,5947664830944.103,127930085680.45395
35524.71709800124,5966782270737.967,123471413931.33298
35384.639619017034,5942457084902.223,124295161735.50418
34988.69340522075,5867311575333.159,125283881112.1077
35189.16923988405,5942459062658.113,46130362636.67656
35374.79655043246,5948856205047.384,127122925247.7255
35530.18313341397,5966699240003.465,133746259224.0274
35475.11250938034,5958573665251.36,41409818138.77791
35306.22398868516,5940138289336.708,128711076749.0271
35127.11487254319,5906168974388.218,129578691738.33452
35091.70606472021,5906429331334.186,115893145614.1011
35107.6539638303,5900966489920.445,122562045431.39809
35424.72683319156,5963022272092.373,116340181188.58197
35259.25428417419,5928352529718.891,84206223223.19162
34931.51363264785,5894917967426.846,105696486504.9034
34848.10635989926,5852417285997.547,136933895703.98671
34935.97295727244,5892221153015.571,135351100638.13403
34754.52341906319,5826719460349.686,88542777378.84294
34832.18646629072,5837874161023.452,131860137911.15329
34633.95724834035,5803000985998.883,130559697010.21002
34309.56962900458,5802016726688.767,129347720415.17482
34491.36922576632,5801047647327.663,120855456600.69922
34546.88304531498,5794414226060.788,123988312058.60733
34348.56362927969,5784207366802.686,128301873310.57549
34428.83835791554,5777111026214.248,123960835847.2696
34598.69189056074,5801605561937.626,125225077008.27951
34478.00280226435,5784790498436.571,123955290634.69713
35093.97977555184,5884436241723.738,128201326684.36649
35335.46950963223,5958113290189.937,127358508907.1136
35213.46227326736,5922677226178.269,125390768665.7974
35123.89685850017,5898682193771.269,128148909824.08247
35218.169735789146,5924659110034.502,125621220113.4702
35080.935129259095,5900874439043.608,124508965987.34782
34615.12595901042,5800449297874.857,127608123424.63928
34715.55925614972,5838888063324.494,124211310982.00383
34616.72629015227,5820353750987.806,123268539527.3007
34515.00533434406,5803250690989.299,123375067257.63579
33955.678837431406,5709810685222.012,122055586338.92056
